"DESCRICAO","QTD"
"Fabricação de outros produtos têxteis não especificados anteriormente",91261
"Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida",613421
"Cultivo de flores e plantas ornamentais",14196
"Fabricação de chapas e de embalagens de papelão ondulado",3959
"Fabricação de adoçantes naturais e artificiais",236
"Fabricação de margarina e outras gorduras vegetais e de óleos não-comestíveis de animais",546
"Fabricação de malte, inclusive malte uísque",355
"Fabricação de produtos de papel, cartolina, papel cartão e papelão ondulado para uso comercial e de escritório, exceto formulário contínuo",21723
"Cultivo de trigo",11780
"Criação de frangos para corte",24516
"Serviço de poda de árvores para lavouras",26295
"Criação de suínos",15032
"Serviço de tratamento de madeira realizado sob contrato",448
"Criação de peixes em água salgada e salobra",16096
"Cultivos e semicultivos da aqüicultura em água salgada e salobra não especificados anteriormente",445
"Beneficiamento de minério de manganês",812
"Cultivo de manga",8069
"Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário",1781
"Fabricação de fermentos e leveduras",388
"Criação de caprinos",6328
"Fabricação de outros artigos de carpintaria para construção",163870
"Cultivo de laranja",43514
"Fabricação de chá mate e outros chás prontos para consumo",1349
"Beneficiamento de minérios de cobre, chumbo, zinco e outros minerais metálicos não-ferrosos não especificados anteriormente",1125
"Frigorífico - abate de eqüinos",245
"Fabricação de outros produtos do fumo, exceto cigarros, cigarrilhas e charutos",2203
"Fabricação de produtos de panificação industrial",172556
"Preparação de subprodutos do abate",15651
"Estamparia e texturização em fios, tecidos, artefatos têxteis e peças do vestuário",69093
"Fabricação de acessórios do vestuário, exceto para segurança e proteção",29332
"Beneficiamento de gesso e caulim associado à extração",544
"Fabricação de óleo de milho refinado",378
"Confecção de roupas profissionais, exceto sob medida",27518
"Fabricação de casas de madeira pré-fabricadas",7583
"Cultivo de cebola",7630
"Fabricação de linhas para costurar e bordar",510
"Cultivo de outros cereais não especificados anteriormente",20403
"Cultivo de pimenta-do-reino",715
"Extração de carvão mineral",720
"Fabricação de conservas de palmito",2923
"Serviço de manejo de animais",4628
"Cultivo de girassol",1943
