,empresa,national_partner,international_partner
82,03696682-LEGACY RAPTOUR TURISMO E EVENTOS LTDA,2,0
83,"03696797-PRODUTO CONSULTORIA, MARKETING E PARTICIPACOES LTDA.",2,0
84,03697132-DIRETA ADMINISTRADORA E INCORPORADORA LTDA.,2,0
85,03697325-MIDDLEBY DO BRASIL LTDA,1,0
86,03697329-CLARION DO BRASIL LTDA,2,0
87,03697330-OCTET BRASIL LTDA,1,1
88,03697333-ENERGIZER DO BRASIL LTDA,2,0
89,03697839-COMPONENTE 3 LTDA,2,0
90,03698589-FERNANDEZ MERA INTERIOR NEGOCIOS IMOBILIARIOS LTDA,2,0
91,03698612-ART & IDEIA PRESENTES E DECORACOES LTDA,2,0
92,03698754-LOCZ TECNOLOGIA MULTIMIDIA LTDA.,1,0
93,03698783-INFORMCAO E TECNOLOGIA CLICK COMERCIAL E INFORMATICA LTDA,2,0
94,03698870-VERTIV TECNOLOGIA DO BRASIL LTDA.,1,0
95,03698899-M M ROUPARIA BOUTIQUE LTDA,2,0
96,03699040-BIJON T'BEAUTE SHOP LTDA,1,0
97,03699082-NORBIB'S EMPREENDIMENTOS E PARTICIPACOES LTDA,3,0
98,03699094-IMPLANTES ORTOPEDICOS DO NORDESTE LTDA,3,0
99,03699205-TRANSPORTADORA SAO FRANCISCO LTDA,2,0
100,03699390-DELUTY MODULADOS LTDA,2,0
101,03699509-NARCISO ROTTA MADEIRAS LTDA,6,0
102,03699867-F C A C TAVARES,1,0
103,03700230-PRODUTOS PARA MARCENARIA MARINGA LTDA,3,0
104,03700801-CBRE SERVICOS DO BRASIL LTDA.,1,0
105,03700948-ITAPETI COMERCIO DE MOVEIS E PRESTACAO DE SERVICO DE MONTAGENS DE MOVEIS LTDA,3,0
106,03701047-PEDREIRA SANTA CRUZ LTDA,3,0
107,03701380-PORTO BELO ENGENHARIA E COMERCIO LTDA,2,0
108,03701451-JACOMINI FISIOTERAPIA E REABILITACAO S/S LTDA,2,0
109,03701487-KINAGRO PRODUTOS AGROPECUARIOS LTDA.,2,0
110,03701572-R. J. ROSA MOURA LTDA.,2,0
111,03701874-MJ MELO EMPRESA DE CONTABILIDADE LTDA,3,0
112,03702051-ILSELANDIA AGRO COMERCIAL LTDA.,5,0
113,03702054-RIO BONITO SERVICOS DE APOIO RODOVIARIO LTDA,3,0
