,empresa,national_partner,international_partner
371,03746498-G.R. CONSULTORIA E SERVICOS MEDICOS S/S LTDA,1,0
372,03746949-SIB PARTICIPACOES E EMPREENDIMENTOS S/S LTDA,2,0
373,03747063-BRASIL SERVER WEB SOLUTIONS LTDA,3,0
374,03747317-CUNHA E ROCHA ARTEFATOS DE GESSO LTDA,2,0
375,03747366-J.A.P. DOS SANTOS TRANSPORTES LTDA,2,0
376,03747527-DIMECAL REPRESENTACOES LTDA,2,0
377,03747830-SAMI DIAGNOSTICOS POR IMAGEM LTDA,2,0
378,03747886-TVH BRASIL PECAS LTDA,1,0
379,03747918-TUTOPIA.COM DO BRASIL LTDA,2,0
380,03747944-INTER COMERCIO E LOGISTICA LTDA,1,0
381,03748144-MARKET PROBE LATIN AMERICA LTDA,1,0
382,03748393-GILBLAYTEC TELECOMUNICACOES LTDA,2,0
383,03748559-DIRETORIO MUNICIPAL DO PARTIDO DA FRENTE LIBERAL,1,0
384,03748640-OLIMPIA CONSTRUTORA LTDA,1,0
385,03748695-DECISION PARTICIPACOES E EMPREENDIMENTOS LTDA.,2,0
386,03748700-GLOBAL PARTICIPACOES E EMPREENDIMENTOS LTDA.,2,0
387,03748705-DISTRIBUIDORA DE VERDURAS ROMANO LTDA,2,0
388,03748807-CLEVER CONSULTORIA E REPRESENTACAO LTDA,2,0
389,03748920-J SOARES PEREIRA & CIA LTDA,3,0
390,03749039-SUNBIRD PARTICIPACOES LTDA,3,0
391,03749270-TRES FRONTEIRA INVESTIMENTOS LTDA,2,0
392,03749320-CLS SERVICOS ODONTOLOGICOS LTDA,2,0
393,03749845-JSA - MEDICAMENTOS LTDA,2,0
394,03750227-SANTA ROSA CONSTRUCOES LTDA,2,0
395,03750285-URBANIZADORA SERVIOBRAS LTDA,2,0
396,03750517-PROJETO CERTO COZINHAS E DECORACOES LTDA,3,0
397,03750584-MUNDI CELULARES LTDA,2,0
398,03751020-SOCIEDADE EDUCACIONAL ANITA GARIBALDI LTDA,1,0
399,03751075-MACEDO & MOREIRA LTDA,2,0
400,03751185-FIDALGA LOFTS LTDA,11,0
401,03751371-JOSIETE & GELSENIR CONSTRUCOES LTDA,2,0
402,03751706-COMERCIAL DE ESTIVAS MATOS LTDA,3,0
403,03751762-NOVA TRANSPORTES LTDA.,5,0
404,03752027-ARTES CLARAS SERVICOS LTDA,3,0
405,03752343-CENTRO SUPERIOR DE ESTUDOS DE MANHUACU LTDA,5,0
406,03752517-UNIDADE EXECUTORA ASSOCIACAO PAIS E MESTRES DA EMPG CARLOS DRUMOND DE ANDRADE,2,0
407,03752662-COMPO EXPERT BRASIL FERTILIZANTES LTDA.,2,0
408,03752804-PAPALEGUAS COMERCIO E INSTALACAO DE OUTDOOR LTDA,3,0
409,03752910-DISTRIBUIDORA TUTTI - FRUTTI LTDA,2,0
410,03753088-CATHO ONLINE LTDA,1,0
411,03753577-CENTRO DE EDUCACAO PLENUS LTDA.,2,0
412,03753733-DESTILARIA MENEGHETTI LTDA,2,0
413,03754112-SOCIEDADE DE ENSINO SUPERIOR ESTACIO AMAZONAS LTDA,2,0
414,03754760-GEOSTAR MINERACAO LTDA,1,0
415,03755209-R&E COMERCIAL DE ALIMENTOS LTDA,2,0
416,03755354-CSHP - CONVENIO SAUDE HOSPITAL PARANA LTDA,1,0
417,03755511-L.M. RADIO E TELEVISAO LTDA,3,0
418,03755561-ARMAZENS GERAIS BAHIA LTDA,2,0
419,03756011-ANESTESIO CENTRO - SERVICO DE ANESTESIOLOGIA LTDA,3,0
420,03756037-CONSORCIO CONSTRUTOR METROSAL,1,0
421,03756058-MONTESUCOS INDUSTRIA DE ALIMENTOS LTDA.,1,0
422,03756153-SISTEMA VAZ ESTACIONAMENTOS LTDA,1,0
423,03756243-TRANSPORTES LIMOEIRO LTDA,5,0
