empresa,cnpj,state,natureza_legal,quantidade_natureza_legal,total_capital,quantidade_socios
LASIZE ADMINISTRACAO E PARTICIPACOES LTDA,03826655,SP,Sociedade Empresária Limitada,14353,2.72E7,1
E-BUSINESS NETWORK IMPORTACAO E EXPORTACAO EIRELI,03747087,SP,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,2.75E7,1
COLLECTIONS DES MUSEES LTDA,03748451,MG,Sociedade Empresária Limitada,14353,2.8E7,1
SHEKINAH CONSTRUCOES E SERVICOS EIRELI,03761180,RO,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,2.8E7,1
CENTRO DE ATENDIMENTO AMBULATORIAL PSIQUIATRICO PSICOTERAPICO - VIDA LTDA,03821835,DF,Sociedade Empresária Limitada,14353,2.8E7,1
Z/QUATTRO COMUNICACAO INTEGRADA EIRELI,03787723,SC,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,2.809E7,1
VSC COMERCIO DE COMBUSTIVEIS LTDA.,03797186,MT,Sociedade Empresária Limitada,14353,2.9E7,1
FARAO AGROINDUSTRIAL AMBIENTAL EIRELI,03688122,PR,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.0E7,1
CARLOS ROBERTO BLAFERT EIRELI,03690573,RO,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.0E7,1
JCL CONSTRUCAO E INCORPORACAO LTDA,03691142,BA,Sociedade Empresária Limitada,14353,3.0E7,1
ALUMISTAL VIDROS E ESQUADRIAS LTDA,03691702,SC,Sociedade Empresária Limitada,14353,3.0E7,1
R. C. TUR TRANSPORTES E TURISMO EIRELI,03692992,SP,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.0E7,1
MASTER TEMPER - COMERCIO DE VIDROS LTDA,03694755,PR,Sociedade Empresária Limitada,14353,3.0E7,1
R.B. LOGISTICA E TRANSPORTE LTDA,03695515,SP,Sociedade Empresária Limitada,14353,3.0E7,1
ASJ CONSTRUTORA E PAVIMENTACOES EIRELI,03696927,BA,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.0E7,1
JR. PLANEJAMENTO DE OBRAS E REFORMA EIRELI,03701922,SP,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.0E7,1
DARCON 08 ENGENHARIA EIRELI,03704695,SP,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.0E7,1
CHATARRA METALS EIRELI,03705536,SP,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.0E7,1
GILSON PAVEZI IZOTON MAQUINAS EIRELI,03707034,ES,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.0E7,1
JA CENTRAL DE DISTRIBUICAO EIRELI,03707161,AL,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.0E7,1
M. FAVACHO MATERIAIS DE CONSTRUCAO E SERVICOS LTDA,03707298,PA,Sociedade Empresária Limitada,14353,3.0E7,1
FLAVIO'S CONTABIL EIRELI,03709033,SP,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.0E7,1
DONALD STREY EIRELI,03710901,SC,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.0E7,1
E-MEDIA PROPAGANDA E COMUNICACAO EIRELI,03713066,SP,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.0E7,1
FORTIMPERE COMERCIO LTDA,03715591,PA,Sociedade Empresária Limitada,14353,3.0E7,1
VICENTE DE PAULA PEREIRA DA SILVA EIRELI,03718359,AM,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.0E7,1
PAULO JOSE BATISTA ALMEIDA EIRELI,03723008,AM,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.0E7,1
DIMALKON COMERCIO DO VESTUARIO EIRELI,03729837,GO,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.0E7,1
AGROSUL COMERCIO AGROPECUARIO EIRELI,03730880,PB,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.0E7,1
CALMONS - LOCACAO DE VEICULOS EIRELI,03741598,ES,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.0E7,1
JS CONSTRUCAO CIVIL LTDA,03742999,ES,Sociedade Empresária Limitada,14353,3.0E7,1
VICTOR FABIANO TEIXEIRA INSTALACOES ELETRICAS EIRELI,03744236,PR,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.0E7,1
MZ FABRICACOES E MANUTENCOES DE CARROCERIAS EIRELI,03749542,RS,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.0E7,1
BLASTER - COMERCIO DE MATERIAL DE LIMPEZA E FOGOS LTDA,03751698,DF,Sociedade Empresária Limitada,14353,3.0E7,1
WFL DISTRIBUICAO E COMERCIO EIRELI,03751735,BA,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.0E7,1
SDC ATACADISTA DE CALCADOS E REPRESENTACAO EIRELI,03751848,DF,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.0E7,1
VISTA COMERCIO IMPORTACAO E EXPORTACAO EIRELI,03753667,SC,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.0E7,1
GC ENGENHARIA EIRELI,03755066,MG,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.0E7,1
BLASTER SISTEMA DE MEDICAO E COMERCIO EIRELI,03756389,SP,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.0E7,1
BARTOLO DISTRIBUIDORA COMERCIO E SERVICOS LTDA,03761039,SP,Sociedade Empresária Limitada,14353,3.0E7,1
GUSTAVO APARECIDO ESTACIO EIRELI,03762070,PR,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.0E7,1
ALL TIME SERVICOS PARA EVENTOS EIRELI,03763736,RS,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.0E7,1
PVB COMERCIO E SERVICOS DE FORROS PISOS E REVESTIMENTOS - EIRELI,03764190,RJ,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.0E7,1
ARMAZENS GERAIS PETROLINA LTDA,03764461,GO,Sociedade Empresária Limitada,14353,3.0E7,1
GOLDTEC INDUSTRIA E COMERCIO EIRELI,03764899,RJ,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.0E7,1
CONSTRUVAN CONSTRUTORA LTDA,03769322,ES,Sociedade Empresária Limitada,14353,3.0E7,1
COMPRAS JA INFORMATICA EIRELI,03770939,BA,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.0E7,1
N & P CONSTRUTORA LTDA,03771935,BA,Sociedade Empresária Limitada,14353,3.0E7,1
AUTO POSTO SEIS EIRELI,03772058,PR,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.0E7,1
METAL M.I.B. LTDA,03772367,SC,Sociedade Empresária Limitada,14353,3.0E7,1
S.A COMERCIO DE PECAS E ACESSORIOS PARA AUTOS LTDA,03773499,BA,Sociedade Empresária Limitada,14353,3.0E7,1
E S DE OLIVEIRA COMERCIO DE PRODUTOS ALIMENTICIOS EIRELI,03773596,AM,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.0E7,1
RAMERTEC SOLUCOES INDUSTRIAIS EIRELI,03776247,SP,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.0E7,1
ENGCINCO CONSTRUCAO CIVIL E TELEFONIA EIRELI,03776342,SP,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.0E7,1
A. I. COMERCIO DE BOVINO LTDA,03777988,GO,Sociedade Empresária Limitada,14353,3.0E7,1
EMPREITEIRA E CONSTRUTORA MCS LTDA,03779983,SP,Sociedade Empresária Limitada,14353,3.0E7,1
MECANICA DE MAQUINAS PESADA EIRELI,03782268,AC,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.0E7,1
PAULO J. T. GARCIA ARQUITETURA EIRELI,03785545,RS,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.0E7,1
JAIR M. MACHADO EIRELI,03785584,TO,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.0E7,1
A.C. BATTERY LIMITADA.,03786240,SP,Sociedade Empresária Limitada,14353,3.0E7,1
CARVALHO MUNIZ COMERCIAL DE ARTIGOS DO VESTUARIO EIRELI,03794163,BA,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.0E7,1
CONSTRUMAR LOCACOES E SERVICOS LTDA,03795674,CE,Sociedade Empresária Limitada,14353,3.0E7,1
VISIONBYTE DIGITAL SERVICES LTDA,03795926,SP,Sociedade Empresária Limitada,14353,3.0E7,1
M C A ENGENHARIA EIRELI,03800168,PB,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.0E7,1
SERBIN INDUSTRIA E COMERCIO DE MOVEIS EIRELI,03802300,SP,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.0E7,1
SONIA REGINA GOUVEA NIETO EQUIPAMENTOS EIRELI,03804803,SP,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.0E7,1
J. F. DOS SANTOS EIRELI,03807607,PE,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.0E7,1
JLS EQUIPAMENTOS COMERCIO E SERVICOS LTDA,03807813,RO,Sociedade Empresária Limitada,14353,3.0E7,1
PERFIL PARTICIPACOES LTDA.,03807961,SP,Sociedade Empresária Limitada,14353,3.0E7,1
FORMULA CAR AUTOMOVEIS EIRELI,03810761,RJ,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.0E7,1
COIMBRA TRANSPORTES EIRELI,03813215,GO,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.0E7,1
R M COMERCIO DE MATERIAL DE CONSTRUCOES LTDA,03813388,AM,Sociedade Empresária Limitada,14353,3.0E7,1
ROYAL ADMINISTRACAO E SERVICOS LTDA,03815856,GO,Sociedade Empresária Limitada,14353,3.0E7,1
MEC CONSTRUTORA E DESENVOLVIMENTO IMOBILIARIO LTDA,03815901,SP,Sociedade Empresária Limitada,14353,3.0E7,1
REWAY SERVICOS DE TERRAPLENAGEM E CONSTRUCOES - EIRELI,03816817,PR,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.0E7,1
LOGICA TECNOLOGIA EIRELI,03817776,RJ,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.0E7,1
JRM COMERCIAL DE EMBALAGENS PLASTICAS EIRELI,03822206,SE,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.0E7,1
PRODEON COMERCIO E REPRESENTACAO COMERCIAL EIRELI,03822496,PA,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.0E7,1
TATA-JARA TRANSPORTE RODOVIARIO E TURISMO EIRELI,03826287,MG,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.0E7,1
C S DOS SANTOS CONSTRUCOES EIRELI,03828861,MA,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.0E7,1
CONTEX CONSTRUTORA LTDA,03735303,DF,Sociedade Empresária Limitada,14353,3.01E7,1
APICE CONSTRUCOES INCORPORADORA E SERVICOS EIRELI,03832221,CE,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.04657E7,1
MARCUS VINICIUS AVILA BARBOSA EIRELI,03793495,RS,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.05E7,1
S. M. M. DA SILVA EIRELI,03765755,AC,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.059E7,1
VCK ENGENHARIA LTDA,03690876,TO,Sociedade Empresária Limitada,14353,3.1E7,1
PETRUCIO ROGERIO DE ARAUJO BRITO EIRELI,03694877,PB,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.1E7,1
TOTAL NOVA RIO COMERCIO DE AR CONDICIONADO E REFRIGERACAO EIRELI,03810332,RJ,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.1E7,1
RITA DE C. ZAFFALON BOSENBECKER PINTO - EIRELI,03827633,RS,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.1E7,1
FASA PARTICIPACOES EIRELI,03684730,MG,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.14E7,1
ALMEIDA MAGALHAES CONFECCOES FEMININA LTDA,03688919,MG,Sociedade Empresária Limitada,14353,3.15E7,1
