empresa,cnpj,state,natureza_legal,quantidade_natureza_legal,total_capital,quantidade_socios
B. R. SERVICOS MEDICOS S/S LTDA,03807975,SP,Sociedade Simples Limitada,2029,7.8E6,78
MED-CLIN MARIENSE LTDA,03776660,MG,Sociedade Empresária Limitada,14353,1.10505E7,53
LEONARDO VILELA SERVICOS MEDICOS,03788721,RJ,Sociedade Simples Pura,219,1.35E7,45
MEDSOV MEDICOS SOCORRISTAS S/S LTDA,03696530,ES,Sociedade Simples Limitada,2029,2.5148286E7,38
NEO PED CLINICA INFANTIL S/C LTDA,03725789,SP,Sociedade Simples Limitada,2029,8.55625E7,37
MICELI SOCIEDADE DE ADVOGADOS,03691418,RJ,Sociedade Simples Pura,219,1.85E8,37
AZIMUT BRASIL WEALTH MANAGEMENT LTDA,03829051,SP,Sociedade Empresária Limitada,14353,5.8839957E9,33
INCOR RIO PRETO LTDA,03747869,SP,Sociedade Simples Limitada,2029,5.1776E7,32
SOCIEDADE DE ANESTESIOLOGIA DE DOURADOS SS LTDA,03785651,MS,Sociedade Simples Limitada,2029,5.604552E8,31
IZIQUE CHEBABI ADVOGADOS ASSOCIADOS,03737433,SP,Sociedade Simples Pura,219,1.5E7,30
EPICENTRO - RIO DE JANEIRO LTDA,03824806,RJ,Sociedade Simples Limitada,2029,8.624E7,28
CENTRO DE FORMACAO DE CONDUTORES BRASIL RIO PRETO LTDA,03815652,SP,Sociedade Empresária Limitada,14353,1.07576E8,28
ARTW SERVICOS MEDICOS,03738617,SP,Sociedade Simples Pura,219,1.647E7,27
ICTS GLOBAL LTDA,03720991,SP,Sociedade Empresária Limitada,14353,7.510131E8,27
H L 523 LTDA,03819329,SP,Sociedade Empresária Limitada,14353,3.6E8,24
INTENSICOR SERVICOS MEDICOS LTDA,03771395,RJ,Sociedade Simples Limitada,2029,7.291E6,23
CENTRO DE TOMOGRAFIA JOINVILLE LTDA.,03793804,SC,Sociedade Empresária Limitada,14353,3.864E9,23
SEMES - SERVICO MEDICO ESPECIALIZADO DE SACRAMENTO LTDA,03804942,MG,Sociedade Simples Limitada,2029,4.84E6,22
INCOR RIO PRETO NUCLEAR LTDA,03703202,SP,Sociedade Empresária Limitada,14353,7.392E7,22
MARQUES GONTIJO & FELICIO ADVOGADOS ASSOCIADOS,03806475,MG,Sociedade Simples Pura,219,1.97505E8,21
TRIGO ASSISTENCIA MEDICA LTDA,03767260,SP,Sociedade Simples Limitada,2029,8.0E6,20
INTERCORDIS SERVICOS DE CARDIOLOGIA LTDA,03815505,PR,Sociedade Simples Limitada,2029,2.0E7,20
OFTALMOCLINICA SANTA MARIA LTDA,03725557,RS,Sociedade Empresária Limitada,14353,8.0E7,20
GOMES DE MATOS CONSULTORES ASSOCIADOS LTDA.,03832786,CE,Sociedade Empresária Limitada,14353,1.9038E8,19
THERMOJET DO BRASIL LTDA,03828767,SP,Sociedade Empresária Limitada,14353,9.5E9,19
MEDICARE SERVICOS INTEGRADOS LTDA,03691302,MG,Sociedade Simples Limitada,2029,5.625E6,18
CLINICA ORTOPEDICA EBENEZER LTDA,03688583,DF,Sociedade Empresária Limitada,14353,1.8E7,18
INSTALARIO SERVICOS E MONTAGENS LTDA,03757245,RJ,Sociedade Simples Limitada,2029,2.04E6,17
SERVICO DE ANESTESIOLOGIA JARAGUA LTDA.,03742737,SC,Sociedade Empresária Limitada,14353,1.15192E7,17
SBS - ENGENHARIA SISTEMAS E EQUIPAMENTOS INDUSTRIAIS LTDA.,03814417,SP,Sociedade Empresária Limitada,14353,1.7E7,17
MOVIMENTO EMPRESARIAL LTDA,03691489,MG,Sociedade Empresária Limitada,14353,1.22893E9,17
PAPI MAXIMIANO KAWASAKI E ADVOGADOS ASSOCIADOS,03834440,SP,Sociedade Simples Pura,219,1.913265E9,17
STI-VR SERVICOS DE TERAPIA INTENSIVA DE VOLTA REDONDA LIMITADA,03764278,RJ,Sociedade Simples Limitada,2029,9.6E6,16
GOULART E COLEPICOLO SOCIEDADE DE ADVOGADOS,03688091,MG,Sociedade Simples Pura,219,1.6E7,16
OLIVEIRA MARQUES BENFICA ADVOCACIA,03698145,MG,Sociedade Simples Pura,219,1.831648E8,16
MACHADO MEYER SENDACZ OPICE E FALCAO ADVOGADOS,03706936,RJ,Sociedade Simples Pura,219,1.3677E7,15
PABST & HADLICH ADVOGADOS ASSOCIADOS,03742334,SC,Sociedade Simples Pura,219,1.5E7,15
AMIX SERVICOS DE INFORMATICA LTDA,03813826,SP,Sociedade Empresária Limitada,14353,1.5E7,15
OAP - OFTALMOLOGISTAS ASSOCIADOS DO PARANA LTDA,03788970,PR,Sociedade Empresária Limitada,14353,9.167745E8,15
CLINICA SAO CARLOS LTDA,03707082,SP,Sociedade Empresária Limitada,14353,1.2E9,15
CLINICA INTEGRADA DE ANESTESIOLOGIA JUNDIAI S/S,03787727,SP,Sociedade Simples Pura,219,6.3E6,14
SERVICO DE HEMODINAMICA DE ARAPONGAS LTDA,03697015,PR,Sociedade Empresária Limitada,14353,3.08E8,14
HEMODINAMICA SAO LUCAS LTDA,03749315,RN,Sociedade Empresária Limitada,14353,5.6E8,14
VINTE - COMERCIO DE MATERIAIS DE CONSTRUCAO LTDA,03781763,RS,Sociedade Empresária Limitada,14353,3.11597E7,13
SOCIEDADE RURAL CRUZALTINHA S/C LTDA,03776202,RS,Sociedade Simples Limitada,2029,4.68E7,13
COOPERATIVA DE TRANSPORTES ALTERNATIVOS DE PASSAGEIROS E TURISMO DO ARAGUAIA-TOCANTINS-COOTINS,03722130,TO,Cooperativa,114.951974934511274333555909,1.11384E8,13
ONCO-RAD - SERVICOS DE ONCOLOGIA E RADIOTERAPIA LTDA,03721886,MG,Sociedade Empresária Limitada,14353,2.6E8,13
TROIA CONSULTORIA EMPRESARIAL,03700040,SC,Sociedade Simples Limitada,2029,4.9725E8,13
UNICLINICAS DE ANAPOLIS LTDA,03728631,GO,Sociedade Empresária Limitada,14353,5.2E8,13
CLINICA DE NEFROLOGIA DE JUAZEIRO LTDA,03800375,BA,Sociedade Empresária Limitada,14353,1.1344008E9,13
PWC SERVICOS CORPORATIVOS LTDA.,03784250,SP,Sociedade Simples Limitada,2029,9.924356E9,13
AGROPECUARIA NOVA BRASILIA LTDA,03788531,RS,Sociedade Empresária Limitada,14353,1.25290815E10,13
BASCH & RAMEH ADVOGADOS ASSOCIADOS,03808064,SP,Sociedade Simples Pura,219,1.2E7,12
SOUZA SAITO DINAMARCO E ADVOGADOS,03795274,SP,Sociedade Simples Pura,219,3.44352E7,12
PACTO EMPREENDIMENTOS E PARTICIPACOES LTDA,03775738,SP,Sociedade Empresária Limitada,14353,6.0E7,12
IP.TV LTDA,03741341,RJ,Sociedade Empresária Limitada,14353,3.0E8,12
MOEMA SERVICOS DE ALIMENTACAO LTDA,03818211,SP,Sociedade Empresária Limitada,14353,6.0E8,12
RESITEC SERVICOS INDUSTRIAIS LTDA,03771834,SP,Sociedade Empresária Limitada,14353,2.4E9,12
RADIO-MAX COMERCIO E SERVICOS RADIOLOGICOS LIMITADA,03751283,SP,Sociedade Empresária Limitada,14353,2.2E6,11
IGES - INSTITUTO DE GINECOLOGIA DO ESPIRITO SANTO LTDA,03792303,ES,Sociedade Empresária Limitada,14353,2.4475E6,11
ROSSI & BERTO ADVOGADOS,03769931,SP,Sociedade Simples Pura,219,3.3E6,11
VEIRANO E ADVOGADOS ASSOCIADOS,03826947,DF,Sociedade Simples Pura,219,3.3E6,11
SCHORR CLINICA DE FISIOTERAPIA E REABILITACAO & CIA LTDA,03692592,SC,Sociedade Simples Limitada,2029,4.29E6,11
CLINICA ODONTOLOGICA HASE S/S LTDA,03766365,PR,Sociedade Simples Limitada,2029,1.65E7,11
CAMILO ADVOGADOS,03813897,SP,Sociedade Simples Pura,219,3.124E7,11
MD - COMERCIO DE INFORMATICA E INTERIORES LTDA,03696521,RS,Sociedade Empresária Limitada,14353,3.3E7,11
CLINICA N. SRA. DE LOURDES LTDA,03739204,GO,Sociedade Empresária Limitada,14353,6.05E7,11
ALVES VIEIRA ADVOGADOS,03725453,RJ,Sociedade Simples Pura,219,1.1E8,11
MARIAS RESTAURANTE LTDA,03829098,SP,Sociedade Empresária Limitada,14353,1.1E8,11
CARDIOS - CENTRO DE MEDICINA CARDIOLOGICA LTDA,03716197,DF,Sociedade Empresária Limitada,14353,5.5E8,11
JDP SERVICOS POSTUMOS LTDA,03806007,GO,Sociedade Empresária Limitada,14353,1.1E9,11
GPS TEC SISTEMAS ELETRONICOS DE SEGURANCA LTDA,03695461,SP,Sociedade Empresária Limitada,14353,3.03435E9,11
OPEN COPA ADMINISTRACAO DE BENS PROPRIOS LTDA,03759581,RJ,Sociedade Empresária Limitada,14353,1.98E10,11
GREEN4T SOLUCOES TI LTDA.,03698620,SP,Sociedade Empresária Limitada,14353,2.838E10,11
KOYAMA ENDOSCOPIA DIGESTIVA LTDA,03745688,SP,Sociedade Simples Limitada,2029,1.0E6,10
GARRIDO FOCACCIA DEZUANI & SANCHEZ ADVOGADOS,03770726,SP,Sociedade Simples Limitada,2029,1.0E6,10
SOCIEDADE PAULISTA DE ESCRITOS JURIDICOS - SOPEJUR S/C LTDA,03833016,SP,Sociedade Simples Limitada,2029,3.0E6,10
MED-OTO JUIZ DE FORA LTDA,03723266,MG,Sociedade Simples Limitada,2029,3.96E6,10
MINERACAO BRACATINGA LTDA,03725075,SC,Sociedade Empresária Limitada,14353,8.0E6,10
CLINICA SAO JOSE DE ITATIAIA LTDA,03778064,RJ,Sociedade Simples Limitada,2029,1.2E7,10
AC & G ATENDIMENTO CARDIOLOGICO LTDA,03759369,MA,Sociedade Simples Pura,219,3.0E7,10
TYMA PARTICIPACOES LTDA,03731674,MG,Sociedade Simples Limitada,2029,1.38064E8,10
CAUB-CLINICA ANESTESIOLOGICA DE UBERABA LTDA,03753291,MG,Sociedade Empresária Limitada,14353,2.1E8,10
LICERE COSTA NORTE LTDA,03812196,PR,Sociedade Empresária Limitada,14353,3.0E8,10
SHOPPING INN FLOREAT EMPREENDIMENTOS LTDA,03818246,SP,Sociedade Empresária Limitada,14353,3.0E8,10
VIANA PEIXOTO - ADVOGADOS ASSOCIADOS,03828916,CE,Sociedade Simples Pura,219,3.0E8,10
INSTITUTO DE ENSINO SUPERIOR DE INDAIATUBA LTDA,03791661,SP,Sociedade Simples Limitada,2029,3.2E8,10
ORTHOS - ORTOPEDIA E MEDICINA ESPECIALIZADA LTDA,03715989,DF,Sociedade Empresária Limitada,14353,3.54E8,10
SPOLETO FRANCHISING LTDA,03724731,RJ,Sociedade Empresária Limitada,14353,7.411E9,10
EXPRESSO RIO CACHOEIRA LTDA,03763402,BA,Sociedade Empresária Limitada,14353,1.120388745E10,10
RRSPE EMPREENDIMENTOS E PARTICIPACOES LTDA,03765375,RJ,Sociedade Empresária Limitada,14353,5.3442274E10,10
UROMED SERVICOS MEDICOS ESPECIALIZADOS SOCIEDADE SIMPLES,03827112,SP,Sociedade Simples Pura,219,9.0E5,9
MEDCARE MEDICINA INTENSIVA LTDA,03809200,SP,Sociedade Simples Limitada,2029,1.215E6,9
PECTUS CIRURGIA TORACICA S/S LTDA,03697479,SP,Sociedade Simples Limitada,2029,1.8E6,9
CEAP - CENTRO AVANCADO DA PREMATURIDADE LTDA,03826074,RJ,Sociedade Simples Limitada,2029,1.8E6,9
CAUJ - CENTRO DE ANDROLOGIA E UROLOGIA DE JUNDIAI S/S,03749329,SP,Sociedade Simples Pura,219,1.8054E6,9
RADARES SERVICOS DE QUALIDADE S/S LTDA,03733030,SP,Sociedade Simples Limitada,2029,2.485278E6,9
INSTITUTO MINEIRO DE PSICODRAMA JACOB LEVY MORENO S/C. LTDA,03737933,MG,Sociedade Simples Limitada,2029,2.709E6,9
CLINICA DR. WANDIR SCHIOZER S/S,03826950,SP,Sociedade Simples Pura,219,4.5E6,9
ANESTESIA & ANALGESIA LTDA,03691242,MG,Sociedade Simples Limitada,2029,4.725E6,9
CENTRO EDUCACIONAL E. C. PESSANHA RANGEL LTDA,03729915,RJ,Sociedade Empresária Limitada,14353,9.0E6,9
LIMA PIRES DE GODOY SOCIEDADE DE ADVOGADOS,03744044,SP,Sociedade Simples Pura,219,9.0E6,9
NET ANCORA INFORMATICA E PROMOCOES LTDA,03801855,SP,Sociedade Simples Limitada,2029,1.35E7,9
POSTO JOAO GALVINO LTDA,03684033,CE,Sociedade Empresária Limitada,14353,1.809E7,9
BARACAT EMPREENDIMENTOS IMOBILIARIOS LTDA,03790722,MT,Sociedade Empresária Limitada,14353,4.5E7,9
INDUSTRIA E COMERCIO DE CARNES VENDRAME LTDA,03728184,RS,Sociedade Empresária Limitada,14353,9.0E7,9
LITOMED SERVICOS MEDICOS S/S LTDA,03807478,SP,Sociedade Simples Limitada,2029,1.4058E8,9
TAHUANA TRANSPORTES OPERADORA E AGENCIA DE VIAGENS LTDA,03710547,SP,Sociedade Empresária Limitada,14353,1.854E8,9
AVALICON ENGENHARIA LTDA,03740729,MG,Sociedade Empresária Limitada,14353,6.3E8,9
NARCISO ROTTA MADEIRAS LTDA,03699509,SC,Sociedade Empresária Limitada,14353,9.0E8,9
ITAGOLIN EMPREENDIMENTOS IMOBILIARIOS LTDA.,03820640,SP,Sociedade Empresária Limitada,14353,2.6200161E9,9
VOLUS TECNOLOGIA E GESTAO DE BENEFICIOS LTDA,03817702,GO,Sociedade Empresária Limitada,14353,1.02374982E10,9
FORTE REAL COMERCIO E SERVICOS LTDA,03685048,MG,Sociedade Empresária Limitada,14353,1.3381154478E10,9
GEORESEARCH DO BRASIL LTDA.,03722323,RJ,Sociedade Empresária Limitada,14353,2.323206E10,9
LAGAR EMPREENDIMENTOS IMOBILIARIOS LTDA.,03703619,SP,Sociedade Empresária Limitada,14353,3.24492165E10,9
SERTRADING S/A,03748067,ES,Sociedade Anônima Fechada,222,3.72163113E10,9
VANCOUROS INDUSTRIA E COMERCIO DE COUROS LTDA.,03731287,PR,Sociedade Empresária Limitada,14353,5.13E10,9
SL DATA PROCESSAMENTO DE DADOS LTDA,03777146,SP,Sociedade Empresária Limitada,14353,8.0E5,8
ERNST & YOUNG SERVICOS ATUARIAIS S/S,03801998,SP,Sociedade Simples Pura,219,8.0E5,8
MF INFORMATICA SERVICOS LTDA,03818807,RJ,Sociedade Simples Limitada,2029,8.0E5,8
MACHADO COMERCIO DE ALIMENTOS E MATERIAIS PARA CONSTRUCAO LTDA,03833480,MT,Sociedade Empresária Limitada,14353,9.6E5,8
LEHMANN & CIA.LTDA,03763179,RS,Sociedade Empresária Limitada,14353,1.28E6,8
SEDAC - SERVICO DE ANESTESIOLOGIA DE CATANDUVA LTDA,03779503,SP,Sociedade Empresária Limitada,14353,1.28E6,8
AIT ASSESSORIA INFORMATICA E TREINAMENTO LTDA,03833700,MG,Sociedade Simples Limitada,2029,1.28E6,8
MALOI-METODOS DIAGNOSTICOS LTDA,03827933,MG,Sociedade Simples Limitada,2029,4.0E6,8
GENTI - GRUPO ESPECIALIZADO EM NEONATOLOGIA E TERAPIA INTENSIVA INFANTIL S/S,03793823,SP,Sociedade Simples Pura,219,4.2E6,8
IPGM COMERCIO E PRESTACAO DE SERVICO EDUCATIVO LTDA,03685123,BA,Sociedade Empresária Limitada,14353,5.6E6,8
GO-CIRURGICA SERVICOS MEDICOS S/S,03752331,SP,Sociedade Simples Pura,219,5.9952E6,8
SAO LUIS SERVICOS MEDICOS DE ANESTESIA,03709878,MA,Sociedade Simples Pura,219,8.0E6,8
VICENTE DE PAULA MENDES ADVOGADOS ASSOCIADOS,03800229,MG,Sociedade Simples Pura,219,8.0E6,8
BOM GOSTO ARTIGOS DE ARMARINHO LTDA,03799464,BA,Sociedade Empresária Limitada,14353,1.2E7,8
CLIMEBA - GESTAO DE SAUDE LTDA,03759212,BA,Sociedade Empresária Limitada,14353,1.28E7,8
NEOFONO,03804009,MG,Sociedade Simples Pura,219,1.6E7,8
CLINICA DE OFTALMOLOGIA E CIRURGIA ESPECIALIZADA LTDA,03705091,BA,Sociedade Empresária Limitada,14353,2.0E7,8
CENTRO DE FORMACAO DE CONDUTORES A INDYCAR LTDA.,03686703,GO,Sociedade Empresária Limitada,14353,2.4E7,8
LUVIZOTTO EMPREENDIMENTOS IMOBILIARIOS LTDA,03750631,SP,Sociedade Empresária Limitada,14353,4.8E7,8
CVL CIRURGIA GERAL E VIDEOLAPAROSCOPIA LTDA,03719536,MG,Sociedade Simples Limitada,2029,6.2496E7,8
T. M. I. C. DESCALVADENSE LTDA,03803578,SP,Sociedade Empresária Limitada,14353,7.2E7,8
NETZA - PROMOCOES E EVENTOS LTDA,03703970,SP,Sociedade Empresária Limitada,14353,8.0E7,8
ROSSI E OSHIRO MEDICOS ASSOCIADOS LTDA,03688760,SP,Sociedade Empresária Limitada,14353,1.84E8,8
ELSAMEX BRASIL LTDA,03771475,SP,Sociedade Empresária Limitada,14353,3.2E8,8
PARTICIPACOES E EMPREENDIMENTOS CRISMA S/C LTDA,03757728,MG,Sociedade Simples Limitada,2029,8.53224E8,8
TOPE PARTICIPACOES LIMITADA,03796271,SP,Sociedade Empresária Limitada,14353,1.6008E9,8
CONSTRUTORA RIO AVE LTDA.,03789605,PE,Sociedade Empresária Limitada,14353,2.8E9,8
GPS CORRETAGENS DE SEGUROS LTDA,03724425,SP,Sociedade Empresária Limitada,14353,6.6800864E9,8
TERRA INVESTIMENTOS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,03751794,SP,Sociedade Empresária Limitada,14353,1.78384E10,8
ILSELANDIA AGRO COMERCIAL LTDA.,03702051,SP,Sociedade Empresária Limitada,14353,1.4E6,7
MALAVASI SOCIEDADE DE ADVOGADOS,03733022,SP,Sociedade Simples Pura,219,1.4E6,7
CECIC CENTRO COORDENADOR EM INVESTIGACOES CLINICAS LTDA,03809961,SP,Sociedade Simples Limitada,2029,1.4E6,7
QLOG CONSULTORIA E TREINAMENTO EMPRESARIAL LTDA,03697119,MG,Sociedade Simples Limitada,2029,2.1E6,7
CLIMEDI CLINICA MEDICA DE ITABIRITO S/S LTDA,03760975,MG,Sociedade Simples Limitada,2029,2.45E6,7
ALVES VIEIRA FLORIANO E CARMANHANI ADVOGADOS,03688484,SP,Sociedade Simples Pura,219,2.8E6,7
CALAZANS E ROSSI ADVOGADOS ASSOCIADOS,03758348,MG,Sociedade Simples Pura,219,3.5E6,7
RIOPRO INFORMATICA LTDA,03828805,RJ,Sociedade Empresária Limitada,14353,3.5E6,7
OLHOS CENTRO DIAGNOSTICO E LASER LTDA,03803032,SP,Sociedade Empresária Limitada,14353,4.2E6,7
CARDIAN SERVICOS MEDICOS LTDA,03827387,ES,Sociedade Simples Limitada,2029,4.9E6,7
GNI23 SP EMPREENDIMENTOS IMOBILIARIOS LTDA,03817547,SP,Sociedade Empresária Limitada,14353,5.6E6,7
CONFEITARIA FLORDOLIRIO LTDA,03771859,RJ,Sociedade Empresária Limitada,14353,6.3E6,7
VILLE-PAR EMPREENDIMENTOS E PARTICIPACOES LTDA,03817282,SP,Sociedade Empresária Limitada,14353,7.0E6,7
ANGIOCENTRO - CENTRO DE ANGIOLOGIA CIRURGIA VASCULAR ENDOVASCULAR E CARDIOLOGIA S/S LTDA,03719921,DF,Sociedade Empresária Limitada,14353,1.47E7,7
REAGETECNICA COMERCIO E SERVICOS LTDA,03703521,SP,Sociedade Empresária Limitada,14353,2.1E7,7
DATAVIA SERVICOS DE TELECOMUNICACOES LTDA,03831023,SP,Sociedade Empresária Limitada,14353,2.8E7,7
PRODIRE TECNOLOGIA EM SISTEMAS LTDA,03704011,RS,Sociedade Empresária Limitada,14353,4.2E7,7
TROPICAL JUICE COMERCIO E INDUSTRIA DE BEBIDAS LTDA,03690522,MG,Sociedade Empresária Limitada,14353,4.55E7,7
CARDIOVIDA CLINICA MEDICA S/S LTDA,03809672,SP,Sociedade Simples Limitada,2029,5.88E7,7
JOB SERVICES EMPREGOS TEMPORARIOS LTDA,03718187,SP,Sociedade Empresária Limitada,14353,7.0E7,7
ESCOLA SUPERIOR DE EDUCACAO CIENCIAS E LETRAS LTDA,03770276,SP,Sociedade Simples Limitada,2029,7.0E7,7
2AG CONSULTORIA EMPRESARIAL E SERVICOS LTDA.,03728101,SP,Sociedade Empresária Limitada,14353,8.4E7,7
FRIGORIFICO SAO JOAO DEL REI LTDA,03754909,MG,Sociedade Empresária Limitada,14353,9.758E7,7
NESELLO APOIO ADMINISTRATIVO LTDA,03815504,PR,Sociedade Empresária Limitada,14353,1.4E8,7
AGRO PECUARIA DO RIO CLARO LTDA,03766193,GO,Sociedade Empresária Limitada,14353,1.526E8,7
MERINO BRASIL SHOES COMERCIO DE CALCADOS S/A,03696229,RS,Sociedade Anônima Fechada,222,1.812181E8,7
VILLA LUCCHESI - EMPREENDIMENTOS IMOBILIARIOS LTDA,03720321,RS,Sociedade Empresária Limitada,14353,2.45E8,7
ARABAN PATRIMONIAL S/S LTDA,03725992,BA,Sociedade Simples Limitada,2029,3.29E8,7
M5 CONSULTORIA LTDA,03693896,MG,Sociedade Empresária Limitada,14353,5.142354E8,7
MAC INCORPORADORA LTDA.,03721835,SP,Sociedade Empresária Limitada,14353,7.0E8,7
RIO TUNEL FLORESTAL LTDA,03833604,SC,Sociedade Empresária Limitada,14353,8.57577E8,7
SET_5 PRODUTORA LTDA.,03780121,SP,Sociedade Empresária Limitada,14353,1.05E9,7
ADMINISTRADORA HOSPITALAR SAO LUIZ LTDA.,03704498,SP,Sociedade Empresária Limitada,14353,2.1667499E9,7
EMPORT EMPRESA MARITIMA PORTUARIA LTDA,03688508,RJ,Sociedade Empresária Limitada,14353,5.67E9,7
HABRASET HOTELEIRA LTDA,03791971,SP,Sociedade Empresária Limitada,14353,5.7823738E9,7
NOVA TRANSPORTES LTDA.,03751762,ES,Sociedade Empresária Limitada,14353,6.755E9,7
MC AVENIDA DAS AMERICAS COMERCIO DE RELOGIOS LTDA,03689632,RJ,Sociedade Empresária Limitada,14353,6.8041722E9,7
LAB-REDE - LABORATORIO DE REFERENCIA EM DIAGNOSTICOS ESPECIALIZADOS S/A,03724613,MG,Sociedade Anônima Fechada,222,7.0E9,7
INSTITUTO EDUCACIONAL SANTO AGOSTINHO S.A.,03735981,MG,Sociedade Anônima Fechada,222,2.3835686E10,7
PANATLANTICA INDUSTRIA E COMERCIO DE TUBOS S.A.,03684007,RS,Sociedade Anônima Fechada,222,5.94631009E10,7
BROOKFIELD ENERGIA COMERCIALIZADORA LTDA,03780401,RJ,Sociedade Empresária Limitada,14353,7.48245505E10,7
CLINICA INFANTIL ANTONIO AUGUSTO LTDA,03757512,SP,Sociedade Simples Limitada,2029,3.6E5,6
ZITO CONSTRUCOES LTDA,03694229,SP,Sociedade Empresária Limitada,14353,6.0E5,6
QUALIDIG LTDA,03706036,PR,Sociedade Empresária Limitada,14353,6.0E5,6
CENTRO DE FORMACAO DE CONDUTORES UNIAO LTDA,03710157,SP,Sociedade Empresária Limitada,14353,6.0E5,6
CLINICA MEDICA MENDES CONDE S/S,03727619,MG,Sociedade Simples Pura,219,6.0E5,6
SALGADO & SIQUEIRA CORRETORA DE SEGUROS LTDA,03787097,SP,Sociedade Empresária Limitada,14353,6.0E5,6
CORAL TERRA NOSTRA LTDA S/C,03794300,RS,Sociedade Simples Limitada,2029,6.0E5,6
CLINICA MEDICA DR GIL RIBEIRO DE MENDONCA JUNIOR LTDA,03823917,SP,Sociedade Simples Limitada,2029,6.0E5,6
MELFAS ASSESSORIA E CONSULTORIA S/C LTDA,03827189,MG,Sociedade Simples Limitada,2029,9.0E5,6
ATIVA REPRESENTACOES LTDA,03719813,MG,Sociedade Empresária Limitada,14353,9.6E5,6
BARANDIER ADVOGADOS ASSOCIADOS,03831786,RJ,Sociedade Simples Pura,219,1.176E6,6
R & M SERVICOS EM SISTEMAS CONTRA INCENDIO LTDA,03687870,MG,Sociedade Simples Limitada,2029,1.2E6,6
B.J.S. SERVICOS S/S LTDA,03765548,SP,Sociedade Simples Limitada,2029,1.2E6,6
DH SURGERY SERVICOS MEDICOS LTDA,03795588,RJ,Sociedade Simples Limitada,2029,1.8E6,6
BAHR NEVES E MELLO ADVOGADOS ASSOCIADOS,03831276,SE,Sociedade Simples Pura,219,1.8E6,6
IMOBILIARIA AMBROSIM LTDA,03785069,ES,Sociedade Empresária Limitada,14353,2.064E6,6
TECHNOCORP TECNOLOGIA E SOFTWARE LTDA,03739615,RS,Sociedade Empresária Limitada,14353,2.4E6,6
CLINICA DE OLHOS SUELY ARANTES ANDIAO LTDA,03786499,ES,Sociedade Empresária Limitada,14353,2.4E6,6
RABELO RIBEIRO E ROMANELLI - ADVOGADOS ASSOCIADOS,03702862,MG,Sociedade Simples Pura,219,2.64E6,6
R.X.R RADIOLOGIA LTDA,03690873,SP,Sociedade Simples Limitada,2029,3.0E6,6
INFECTIO - CLINICA DE INFECTOLOGIA LTDA,03698493,SP,Sociedade Empresária Limitada,14353,3.0E6,6
MIRAGEM EMPREENDIMENTOS E PARTICIPACOES LTDA,03799123,MG,Sociedade Empresária Limitada,14353,3.0E6,6
PAIOL CORRETORA DE SEGUROS LTDA,03824622,SC,Sociedade Empresária Limitada,14353,3.0E6,6
GESTAO ASSESSORIA E CONSULTORIA EM ADMINISTRACAO PUBLICA LTDA.,03713762,RS,Sociedade Empresária Limitada,14353,6.0E6,6
CENTRO - CONSULTORIO DE ENDOCRINOLOGIA E TRATAMENTO DA OBESI,03728015,BA,Sociedade Empresária Limitada,14353,6.0E6,6
ATENA SOLUCOES LTDA,03741240,BA,Sociedade Empresária Limitada,14353,6.0E6,6
CENTRO DE DIAGNOSTICO CARDIO VASCULAR GUARAPUAVA S/C LTDA,03825392,PR,Sociedade Simples Limitada,2029,7.14E6,6
MG LOCADORA LTDA,03769364,MG,Sociedade Empresária Limitada,14353,9.0E6,6
JOSE CARLOS BEZERRA LTDA,03820802,MG,Sociedade Empresária Limitada,14353,9.0E6,6
LEAO & GONDIM MEDICOS ASSOCIADOS LTDA,03706149,PE,Sociedade Empresária Limitada,14353,1.2E7,6
MIRANDA & ENNES SERVICOS LTDA,03742076,SP,Sociedade Empresária Limitada,14353,1.2E7,6
GILSON GARCIA ADVOGADOS,03777002,SP,Sociedade Simples Pura,219,1.2E7,6
INSTITUTO DE BELEZA LLORAN BARREDS LTDA,03823271,SP,Sociedade Empresária Limitada,14353,1.2E7,6
CONEP - CONSULTORIA DE ENGENHARIA E PROJETOS LTDA,03716744,MG,Sociedade Simples Limitada,2029,1.4544E7,6
GROLLI ZARBIELLI & CIA LTDA,03698513,RS,Sociedade Empresária Limitada,14353,1.8E7,6
COOPERATIVA DOS PRODUTORES DE UNA LTDA,03738413,BA,Cooperativa,114.951974934511274333555909,1.8609E7,6
INSTITUTO DE DIAGNOSTICO E TRATAMENTO EM PSICOLOGIA PROF. JORGE TRINDADE SOCIEDADE SIMPLES,03737689,RS,Sociedade Simples Limitada,2029,1.98E7,6
BETHACENTER EMPREENDIMENTOS E PARTICIPACOES LTDA,03735124,SP,Sociedade Empresária Limitada,14353,2.22E7,6
UPS SERVICOS AUXILIARES LTDA,03815158,SP,Sociedade Empresária Limitada,14353,2.61972E7,6
PROJETO CERTO COZINHAS E DECORACOES LTDA,03750517,PR,Sociedade Empresária Limitada,14353,3.0E7,6
PCH CONRADO HEITOR DE QUEIROZ/KAMAMU LTDA,03801726,MT,Sociedade Empresária Limitada,14353,3.3E7,6
COMLINK COMUNICACOES INTEGRADAS S.A.,03813799,SP,Sociedade Anônima Fechada,222,5.4E7,6
LCR CONTADORES ASSOCIADOS S/S,03814203,SP,Sociedade Simples Pura,219,5.46E7,6
